time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-10-19 22:25:02,39.986589,-104.597755,14.5,84.9,343.5,-3.57,-7.03,-3.10,Normal,0.59,,,,,,
2025-10-19 22:25:07,39.988285,-104.598357,15.9,49.8,294.5,-3.56,100.29,-9.54,FuelLeak,0.56,vision,north_field,,,25.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-19 22:25:32,0.000000,1.000000,200.0,1.0,0.0,39.99,-104.60,-1.40,EngineFailure,0.71,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 22:25:44,5.896821,191.595772,-26.4,178.5,-0.0,90.00,1.00,200.00,FuelLeak,0.76,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-19 22:25:54,1.000000,0.000000,40.0,-104.6,-1.4,5.90,191.68,-26.40,FuelLeak,0.78,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 22:26:04,178.684083,5.487246,270.0,1.0,200.0,1.00,0.00,39.99,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 22:26:15,-104.599456,-1.415030,5.9,191.8,-26.4,178.80,-0.00,90.00,FuelLeak,0.73,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-19 22:26:27,1.000000,200.000000,1.0,0.0,40.0,-104.60,-1.42,5.90,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
