time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-12-06 15:41:30,0.000000,12.950180,77.7,2917.7,9.4,246.21,2.35,-3.54,FuelLeak,0.85,vision,east_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 15:44:08,0.010711,90.000000,1.0,200.0,1.0,0.00,12.95,77.68,FuelLeak,0.69,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-12-06 15:48:09,2917.647285,9.294460,245.2,2.3,-3.4,-0.00,0.00,1.00,FuelLeak,0.68,vision,east_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 15:49:41,200.000000,1.000000,0.0,13.0,77.7,2917.63,9.29,244.66,FuelLeak,0.74,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 15:51:19,1.894856,-3.294308,0.0,90.0,1.0,200.00,1.00,0.00,FuelLeak,0.73,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 15:52:43,12.950177,77.677149,2917.6,9.3,244.1,2.16,-3.55,-0.02,Normal,0.47,,,,,,
2025-12-06 15:52:45,89.993160,1.000000,200.0,1.0,0.0,12.95,77.68,2917.59,EngineFailure,0.53,vision,nearby_field,,,40.900000000000006,hdg=360.0;alt=200.0;thr=0.0
2025-12-06 15:54:33,9.294703,243.619780,1.8,-3.6,0.0,90.00,1.00,200.00,FuelLeak,0.72,vision,north_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-12-06 15:56:17,1.000000,0.000000,13.0,77.7,2917.6,9.30,243.12,1.55,FuelLeak,0.60,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 15:58:07,-3.424078,-0.001599,13.0,77.7,2917.6,9.29,243.11,1.54,FuelLeak,0.60,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 15:59:57,-3.425494,0.001228,360.0,1.0,200.0,1.00,0.00,12.95,FuelLeak,0.60,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 16:01:52,77.677149,2917.558729,9.3,242.4,1.9,-3.53,-0.00,0.00,FuelLeak,0.60,vision,south_field,,,40.900000000000006,hdg=180.0;alt=200.0;thr=0.0
2025-12-06 16:03:28,1.000000,200.000000,1.0,0.0,13.0,77.68,2917.53,9.29,FuelLeak,0.72,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-12-06 16:05:18,241.739356,1.472757,-3.3,0.0,90.0,1.00,200.00,1.00,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 16:06:43,0.000000,12.950172,77.7,2917.5,9.3,241.02,1.75,-3.47,FuelLeak,0.85,vision,east_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 16:08:04,0.001083,90.001195,1.0,200.0,1.0,0.00,12.95,77.68,FuelLeak,0.69,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-12-06 16:09:15,2917.470891,9.304730,240.3,1.5,-3.6,-0.00,90.00,1.00,FuelLeak,0.68,vision,east_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 16:10:24,200.000000,1.000000,0.0,13.0,77.7,2917.45,9.30,239.57,FuelLeak,0.74,vision,south_field,,,40.900000000000006,hdg=180.0;alt=200.0;thr=0.0
2025-12-06 16:11:46,1.715483,-3.290822,0.0,180.0,1.0,200.00,1.00,0.00,FuelLeak,0.73,vision,east_field,,,21.9,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 16:12:14,12.950169,77.677148,2917.4,9.3,238.9,1.54,-3.45,-0.00,Normal,0.47,,,,,,
2025-12-06 16:12:15,270.000349,1.000000,200.0,1.0,0.0,12.95,77.68,2917.38,EngineFailure,0.53,vision,nearby_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-12-06 16:12:59,9.298852,238.309928,1.6,-3.2,0.0,89.98,1.00,200.00,FuelLeak,0.72,vision,north_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-12-06 16:14:23,1.000000,0.000000,13.0,77.7,2917.4,9.30,237.81,1.33,FuelLeak,0.60,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-12-06 16:15:31,-3.000684,-0.001875,90.0,1.0,200.0,1.00,0.00,12.95,FuelLeak,0.60,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
