time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,p_prob,choice_kind,choice_id,choice_heading,choice_alt,choice_score,cmds
2025-10-24 23:17:00,1.000000,0.000000,39.8,-104.6,-1.3,6.90,242.81,-26.31,FuelLeak,0.78,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:17:13,-178.843430,-0.000303,90.0,1.0,200.0,1.00,0.00,39.77,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:17:24,-104.600658,-1.283839,6.9,242.8,-26.3,-178.80,0.00,0.00,FuelLeak,0.60,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:17:33,1.000000,200.000000,1.0,0.0,39.8,-104.60,-1.28,6.90,FuelLeak,0.59,vision,west_field,,,40.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:17:44,242.874880,-26.288403,-178.8,-0.0,90.0,1.00,200.00,1.00,FuelLeak,0.77,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:17:54,0.000000,39.774439,-104.6,-1.3,6.9,242.91,-26.28,-178.71,FuelLeak,0.67,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:18:06,0.000419,89.993160,1.0,200.0,1.0,0.00,39.77,-104.60,FuelLeak,0.72,vision,north_field,,,15.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:18:15,-1.282820,6.900798,242.9,-26.3,-178.7,0.00,269.99,1.00,FuelLeak,0.76,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:18:24,200.000000,1.000000,0.0,39.8,-104.6,-1.28,6.90,242.97,FuelLeak,0.69,vision,west_field,,,40.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:18:34,-26.255276,-178.592041,-0.0,39.8,-104.6,-1.28,6.90,242.97,FuelLeak,0.69,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:18:42,-26.254248,-178.585099,0.0,0.0,1.0,200.00,1.00,0.00,FuelLeak,0.72,vision,west_field,,,15.900000000000006,hdg=270.0;alt=200.0;thr=0.0
2025-10-24 23:18:51,39.774439,-104.600658,-1.3,6.9,243.0,-26.24,-178.53,-0.00,EngineFailure,0.48,,,,,,
2025-10-24 23:18:52,0.000000,1.000000,200.0,1.0,0.0,39.77,-104.60,-1.28,EngineFailure,0.71,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
2025-10-24 23:19:04,6.901897,243.027389,-26.2,-178.5,-0.0,90.00,1.00,200.00,FuelLeak,0.78,vision,north_field,,,40.900000000000006,hdg=0.0;alt=200.0;thr=0.0
2025-10-24 23:19:15,1.000000,0.000000,39.8,-104.6,-1.3,6.90,243.06,-26.22,FuelLeak,0.78,vision,east_field,,,15.900000000000006,hdg=90.0;alt=200.0;thr=0.0
