time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2025-10-06_22:18:05,39.81921782887591,-104.7050928176388,757.6735813877699,84.88546220857859,118.898700032479,-3.782765642956817,-7.578678357026527,-4.609419850270265,Normal,0.835,,,,None
2025-10-06_22:18:09,39.81853758792246,-104.7032890000067,738.3109766190602,84.87908066525044,112.2964513865597,-3.783923243927243,-7.587753781697284,-4.612162090668896,Normal,0.615,,,,None
2025-10-06_22:18:13,39.81802678831025,-104.701395242117,718.9041810613062,84.88707783198889,105.7233089873617,-3.782103456039723,-7.595115027350265,-4.601898112450902,Normal,0.615,,,,None
2025-10-06_22:18:17,39.81770084348948,-104.6994351880462,699.5830978126584,84.89825195587375,99.10310961218691,-3.770964866953433,-7.600783326606345,-4.568163441303159,Normal,0.615,,,,None
2025-10-06_22:18:22,39.81756155456269,-104.697432924712,680.478061671019,84.90157440948887,92.47721432061161,-3.754814096570384,-7.606719973009858,-4.526673671038945,Normal,0.555,,,,None
2025-10-06_22:18:26,39.81761240606483,-104.6954250630535,661.3939170055507,84.89677729076865,85.91061046470752,-3.741888704979203,-7.614692448164081,-4.494606379798401,Normal,0.46,,,,None
2025-10-06_22:18:30,39.81787154892094,-104.6933060455862,641.5768323333444,84.89136605041735,78.98237190773575,-3.735341938950183,-7.624879391741683,-4.48091210389962,Normal,0.46,,,,None
2025-10-06_22:18:34,39.81831021846589,-104.6913484941142,622.869595422265,84.89291783581093,72.32221868690344,-3.732222696013775,-7.634696510638673,-4.471692866348087,Normal,0.46,,,,None
2025-10-06_22:18:39,39.8189331283215,-104.6894753206728,603.9797867885259,84.89941642804659,65.6420307159443,-3.727034358479328,-7.643417216334617,-4.45548765283508,Normal,0.46,,,,None
2025-10-06_22:18:43,39.81973225506354,-104.6876945522488,585.3816595841822,84.90592040698284,59.02174497723239,-3.718558401972445,-7.651840412077068,-4.431879818256307,Normal,0.46,,,,None
2025-10-06_22:18:47,39.82069779381744,-104.6860302342113,566.6959055068547,84.90660576087626,52.38455511409182,-3.710017351835969,-7.660496172600962,-4.410328059007843,Normal,0.46,,,,None
2025-10-06_22:18:51,39.82181761355183,-104.6845236213883,548.1733279600488,84.90839544949232,45.74163598457625,-3.704159840726528,-7.67007154036152,-4.395842273179158,FuelLeak,0.415,,,,None
2025-10-06_22:18:55,39.82306696073742,-104.6831852738919,529.7475644851417,84.91040869403191,39.05390297874517,-3.70072957157169,-7.679579386173401,-4.386790087668531,FuelLeak,0.405,,,,None
2025-10-06_22:19:00,39.8244526459902,-104.6820458263653,511.3605050111451,84.9150137112422,32.37419599979375,-3.697811168717234,-7.68881151118912,-4.377949001382025,FuelLeak,0.405,,,,None
2025-10-06_22:19:04,39.82594793174813,-104.6811300596663,492.9706782664913,84.89650213730152,25.68485426027022,-3.702954751466576,-7.697403304228297,-4.404733421006211,FuelLeak,0.405,,,,None
2025-10-06_22:19:08,39.82752430152138,-104.6804215093016,474.4532875057049,84.88256029440143,18.99722075168109,-3.733968079437391,-7.70708558768305,-4.484803924757872,FuelLeak,0.405,,,,None
2025-10-06_22:19:12,39.82916090068019,-104.6799472517179,455.6579728932529,84.91521408828898,12.36808512224579,-3.75361068159863,-7.709905488531671,-4.516609257013883,FuelLeak,0.405,,,,None
2025-10-06_22:19:16,39.8308431569023,-104.679723158481,436.6289471198494,84.955397166604,5.605014049021658,-3.741509939886003,-7.706078611584683,-4.469957563732779,FuelLeak,0.405,,,,None
2025-10-06_22:19:21,39.83256943935098,-104.6797496781603,417.9415542457245,84.96655590143104,358.9124352063709,-3.7126630432829,-7.702908948356749,-4.396797130834311,Normal,0.59,,,,None
2025-10-06_22:19:25,39.83428932275439,-104.6800243112424,399.5464827154308,84.94850734137532,352.2758602900823,-3.695064759095887,-7.70577694585294,-4.361619331874849,Normal,0.59,,,,None
2025-10-06_22:19:29,39.8359663165235,-104.6805504829237,381.1096508855931,84.93066269717306,345.5579361017166,-3.698282761837647,-7.713575076591284,-4.376886505721582,Normal,0.59,,,,None
