time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2026-01-07_16:01:59,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:04,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:08,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:12,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:16,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:20,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:25,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:29,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:33,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:37,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:41,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:46,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
2026-01-07_16:02:50,37.61719784438977,-122.3784349437595,21.04276443222096,0.0,177.3571284883811,-8.072824674145696,-176.6079341239235,-3.226146668939628,EngineFailure,0.48,,,,None
