time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2025-10-06_22:28:18,39.83492249317761,-104.7194297032059,-1.552804840698491,5.980748040487753,127.3365812531884,-26.24035721095981,-179.1522022567937,4.04455596094725,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:22,39.83492249317759,-104.7194297032059,-1.55280483837208,5.980748548138518,127.3365812360809,-26.24035721699447,-179.1522022256714,-7.10969959606033,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:26,39.83492249317754,-104.7194297032059,-1.55280483837208,5.980748505577079,127.3365812070426,-26.24035715405406,-179.1522021562196,1.499345201337166,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:31,39.83492249317748,-104.719429703206,-1.55280483837208,5.980748291064175,127.3365811810619,-26.24035725806865,-179.1522021222685,4.226390109916239,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:35,39.83492249317744,-104.7194297032059,-1.552804836045669,5.980748296749864,127.3365811841065,-26.2403571623885,-179.1522021177211,4.246648300915397,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:39,39.83492249317743,-104.7194297032059,-1.55280483837208,5.980748357505507,127.3365811794763,-26.24035721212627,-179.1522021006971,1.89161441953761,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:43,39.83492249317737,-104.719429703206,-1.55280483837208,5.980748316690386,127.3365811584831,-26.24035724871682,-179.1522020575293,4.454466391895488,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:47,39.83492249317734,-104.719429703206,-1.55280483837208,5.980748176335101,127.3365811542671,-26.24035717468129,-179.1522020532004,2.031486549687248,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:51,39.83492249317739,-104.719429703206,-1.552804836045669,5.980748416230547,127.3365811570747,-26.24035726306828,-179.1522020356551,1.519264608620966,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:55,39.83492249317734,-104.719429703206,-1.552804836045669,5.980748408676704,127.3365811130922,-26.24035719258898,-179.1522019303746,2.395571266645031,EngineFailure,1.0,,,,0.0
2025-10-06_22:28:59,39.83492249317717,-104.7194297032061,-1.552804831392847,5.980748331798074,127.3365810594926,-26.24035722967061,-179.1522018243078,-7.095600801840127,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:04,39.83492249317714,-104.7194297032061,-1.552804824413614,5.980748130930817,127.3365810371181,-26.24035720212479,-179.1522017800688,-2.138886537818,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:08,39.83492249317717,-104.7194297032061,-1.552804824413615,5.980747876983586,127.3365810228182,-26.24035725323618,-179.1522017543923,4.966108632843191,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:12,39.83492249317712,-104.7194297032061,-1.552804840698491,5.980748120493517,127.3365810045867,-26.24035712487765,-179.1522016991088,4.514042514101227,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:16,39.8349224931771,-104.7194297032061,-1.552804833719258,5.980747936195975,127.3365809884133,-26.24035718927956,-179.1522016708636,4.249772777353853,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:20,39.83492249317705,-104.7194297032061,-1.552804824413615,5.980748378095821,127.336580968052,-26.24035721104256,-179.1522016247619,-6.651318627783893,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:25,39.83492249317705,-104.7194297032061,-1.552804826740025,5.98074785878938,127.3365809407641,-26.24035726654257,-179.1522015787704,5.338787561478229,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:29,39.83492249317698,-104.7194297032061,-1.552804833719258,5.980748394746768,127.3365809186207,-26.24035724195044,-179.1522015134575,2.35164354455311,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:33,39.83492249317695,-104.7194297032061,-1.552804826740026,5.980748126544714,127.3365809024848,-26.24035718325641,-179.1522014697399,4.803014090522733,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:37,39.83492249317693,-104.7194297032061,-1.552804836045669,5.980748794653714,127.3365808897432,-26.2403572058889,-179.1522014592966,2.43185254904904,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:42,39.8349224931769,-104.7194297032061,-1.552804831392848,5.980748433287612,127.3365808846084,-26.24035726491906,-179.1522014364076,1.998644361232006,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:47,39.83492249317689,-104.7194297032061,-1.552804829066436,5.98074808333348,127.3365808729027,-26.2403571517481,-179.1522014140699,1.137654647703882,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:51,39.83492249317687,-104.719429703206,-1.552804836045669,5.980748077810238,127.3365808765109,-26.24035707166399,-179.152201427482,-4.342122605535947,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:55,39.8349224931769,-104.7194297032061,-1.552804833719258,5.980748073667809,127.3365808797977,-26.240357148834,-179.1522014286613,1.720107924461055,EngineFailure,1.0,,,,0.0
2025-10-06_22:29:59,39.83492249317693,-104.7194297032061,-1.552804824413615,5.980748170080845,127.3365808771751,-26.24035716666409,-179.152201426878,3.883018485718011,EngineFailure,1.0,,,,0.0
2025-10-06_22:30:03,39.83492249317692,-104.7194297032061,-1.552804829066436,5.980748492987341,127.3365808600679,-26.24035708649781,-179.1522013890228,2.649150352440988,EngineFailure,1.0,,,,0.0
2025-10-06_22:30:07,39.83492249317688,-104.7194297032061,-1.552804843024902,5.98074850244995,127.3365808595101,-26.24035712678708,-179.1522013779662,-5.03155218983573,EngineFailure,1.0,,,,0.0
2025-10-06_22:30:12,39.83492249317681,-104.7194297032061,-1.552804829066436,5.980748374156452,127.3365808408436,-26.24035719683753,-179.1522013365357,1.067596796199011,EngineFailure,1.0,,,,0.0
2025-10-06_22:30:16,39.8349224931767,-104.7194297032061,-1.552804831392848,5.980747944034102,127.3365808200232,-26.24035719816846,-179.1522013066975,3.249586852903663,EngineFailure,1.0,,,,0.0
2025-10-06_22:30:20,39.83492249317668,-104.7194297032061,-1.552804829066436,5.980748220114904,127.3365808139075,-26.24035719079781,-179.1522012788907,1.247189821744128,EngineFailure,1.0,,,,0.0
