time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2025-12-06_15:23:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FuelLeak,0.68,,,,None
2025-12-06_15:23:51,0.0,0.0,0.0,0.0,0.0,37.619002,-122.374843,2500.0,EngineFailure,1.0,,,,None
2025-12-06_15:24:04,0.0,9999.0,0.424,0.0,0.0,0.0,37.619002,-122.374843,FuelLeak,0.71,,,,None
2025-12-06_15:24:06,2500.0,0.0,9999.0,0.424,0.0,0.0,0.0,37.619002,FuelLeak,0.515,,,,None
2025-12-06_15:24:07,-122.374843,2500.0,0.0,9999.0,0.424,0.0,0.0,0.0,FuelLeak,0.785,,,,None
2025-12-06_15:24:09,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,0.0,0.0,Normal,0.465,,,,None
2025-12-06_15:24:10,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,0.0,FuelLeak,0.93,,,,None
2025-12-06_15:24:11,0.0,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,FuelLeak,0.655,,,,None
2025-12-06_15:24:13,0.0,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,FuelLeak,0.655,,,,None
2025-12-06_15:24:14,0.0,0.0,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,EngineFailure,0.49,,,,None
2025-12-06_15:24:15,0.424,0.0,0.0,0.0,37.619002,-122.374843,2500.0,0.0,FuelLeak,0.595,,,,None
2025-12-06_15:24:16,9999.0,0.424,0.0,0.0,0.0,37.619002,-122.374843,2500.0,EngineFailure,1.0,,,,None
2025-12-06_15:24:18,0.0,9999.0,0.424,0.0,0.0,37.619002,-122.374843,2500.0,EngineFailure,1.0,,,,None
2025-12-06_15:24:20,0.0,9999.0,0.424,0.0,0.0,0.0,37.619002,-122.374843,FuelLeak,0.71,,,,None
2025-12-06_15:24:21,2500.0,0.0,9999.0,0.424,0.0,0.0,0.0,37.619002,FuelLeak,0.515,,,,None
2025-12-06_15:24:23,-122.374843,2500.0,0.0,9999.0,0.424,0.0,0.0,0.0,FuelLeak,0.785,,,,None
2025-12-06_15:24:24,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,0.0,0.0,Normal,0.465,,,,None
2025-12-06_15:24:26,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,0.0,FuelLeak,0.93,,,,None
2025-12-06_15:24:27,0.0,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,0.424,FuelLeak,0.655,,,,None
2025-12-06_15:24:29,0.0,0.0,0.0,37.619002,-122.374843,2500.0,0.0,9999.0,EngineFailure,0.49,,,,None
