time,lat,lon,alt_ft,airspeed_kt,heading_deg,vsi_fps,best_icao,best_score
2025-11-09T22:57:45.637286,39.81177553763581,77.5946,-104.6986398817643,1964.878228399959,85.3153337138758,119.4863453535048,VOBL,15.0
2025-11-09T22:57:51.087970,-2.924906672718943,39.81046023672922,-104.6958814543929,1946.70469535193,84.33476760415064,110.3549712554576,VOBL,15.0
2025-11-09T22:57:55.783805,-3.649471915954318,39.80996629345118,-104.6943123618311,1927.979683295297,84.41694072565271,103.4612692314937,VOBL,20.0
2025-11-09T22:57:59.932533,-5.117057214536471,39.80940166567663,-104.6915805488256,1904.505508015737,85.01135713751414,96.28480701586305,VOBL,15.0
2025-11-09T22:58:04.477694,-5.63181450969354,39.80919475081735,-104.6892700610839,1879.454317315911,85.40714130470163,88.77782630477334,VOBL,0.0
2025-11-09T22:58:08.736597,-4.821200884412735,39.80921274357631,-104.6871487757419,1860.509810213888,85.23161112182065,82.10151172300013,VOBL,8.0
2025-11-09T22:58:13.141569,-3.955942229476745,39.80943922974205,-104.6849803582694,1843.617621647673,84.82945500737043,75.06534583547054,VOBL,20.0
2025-11-09T22:58:17.351084,-3.840970806631051,39.80985246807751,-104.6829653028935,1826.616728280118,84.665612398414,68.29858231333392,VOBL,20.0
2025-11-09T22:58:22.032373,-4.392567817117359,39.81047948164801,-104.6809737242932,1806.214901633584,84.83277578943212,61.21785969369191,VOBL,15.0
2025-11-09T22:58:26.079824,-4.903064515295276,39.81129512942098,-104.6791232044918,1784.688463897488,85.08308678900698,54.07764976489137,VOBL,8.0
2025-11-09T22:58:30.296143,-4.853389786790305,39.81224769502054,-104.6774938918737,1764.797253483824,85.14618935299896,47.29434061283116,VOBL,8.0
2025-11-09T22:58:34.318389,-4.454255445305514,39.81323907944545,-104.6761674796473,1747.727648822532,85.02973053411029,40.79756545815436,VOBL,0.0
2025-11-09T22:58:38.519775,-4.178394032484091,39.81450035167325,-104.6748516901219,1730.094195228874,84.87903806198793,33.99754267507868,VOBL,20.0
2025-11-09T22:58:42.690167,-4.231947316102531,39.81584160219462,-104.6737929615991,1711.833923036161,84.85072845499835,27.21092809230568,VOBL,8.0
