time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2025-10-24_22:12:34,39.81124475331671,-104.705322463055,1904.186759741937,85.64678526039287,147.9831609498636,-4.52548020315117,-6.547035178903323,-6.232445909153757,Normal,0.785,,,,None
2025-10-24_22:12:38,39.80964764354486,-104.7041013372586,1876.949207429755,85.46359862636295,141.9084917416122,-3.748923964925609,-6.412525567846354,-4.353324748163005,Normal,0.835,,,,None
2025-10-24_22:12:43,39.80796886395755,-104.7025435888497,1857.188053374362,84.68250119544876,136.6083096509338,-3.573789500531018,-6.470409367950925,-4.260573980237911,Normal,0.835,,,,None
2025-10-24_22:12:47,39.80654231922812,-104.7009237246372,1837.892311928789,84.18563447998089,130.9460722566942,-3.982811307591927,-6.621280849536156,-5.458946558087669,Normal,0.835,,,,None
2025-10-24_22:12:51,39.80523615950549,-104.6990338774054,1812.201837346051,84.40756518422737,124.8002748276705,-4.438735146257228,-6.707541452281299,-6.502108715450264,Normal,0.785,,,,None
2025-10-24_22:12:56,39.80405850482686,-104.6971774324255,1785.103024654178,84.91819970840517,119.3285203199698,-4.466844637501961,-6.67200481116789,-6.347793942387329,Normal,0.785,,,,None
2025-10-24_22:13:00,39.80309620036697,-104.6952024409779,1758.670433226594,85.1588581128486,113.8418148140575,-4.14945693389501,-6.591255567787763,-5.464041590515397,Normal,0.835,,,,None
2025-10-24_22:13:05,39.80220820720836,-104.6929819623751,1733.736451925399,84.96461448178096,107.6843880451065,-3.901750746306172,-6.574472843227362,-4.942017191365386,Normal,0.835,,,,None
2025-10-24_22:13:09,39.80156606117158,-104.6908271904762,1712.661406051902,84.64595498074387,102.14255691362,-3.912837620206929,-6.625075230368525,-5.105834092845591,Normal,0.835,,,,None
2025-10-24_22:13:13,39.80108003436269,-104.688730906835,1691.47483600886,84.52564274831363,96.64392425194586,-4.099741245455032,-6.689109723320328,-5.615953623715207,Normal,0.835,,,,None
2025-10-24_22:13:17,39.80076722097418,-104.6865104079305,1667.517639487409,84.66217623968801,91.07363626143592,-4.249722210806393,-6.719238727250796,-5.914822602207642,Normal,0.705,,,,None
2025-10-24_22:13:22,39.80061081484683,-104.6843187680261,1642.703674663382,84.86349032168145,85.41591341285302,-4.225408151421091,-6.705981898436217,-5.769137127660978,Normal,0.705,,,,None
2025-10-24_22:13:26,39.80062481744157,-104.682099284164,1618.451640901461,84.92892819859988,79.77753443763066,-4.092738395102772,-6.684903595816241,-5.41720309013845,Normal,0.705,,,,None
2025-10-24_22:13:30,39.80080282465679,-104.6799509235689,1595.754219655359,84.83600704085073,74.21575690480952,-3.998695161160368,-6.688913787123739,-5.2220518923562,Normal,0.705,,,,None
2025-10-24_22:13:34,39.80112934245973,-104.6778992781879,1574.032994997571,84.70877937696574,68.68894132579312,-4.014514866710212,-6.719160822629521,-5.312902461254163,Normal,0.705,,,,None
2025-10-24_22:13:38,39.80164047851645,-104.6758660638965,1551.413594541385,84.67421044105443,62.96756433860121,-4.093642194141146,-6.752497583337236,-5.520983879440635,Normal,0.705,,,,None
2025-10-24_22:13:42,39.80227888244014,-104.6739804555147,1528.507101600096,84.74026794515697,57.31934122545013,-4.144262904772309,-6.768744517527341,-5.614904662115957,Normal,0.705,,,,None
2025-10-24_22:13:47,39.80307351638464,-104.6721546445404,1504.679932723896,84.82055380033478,51.61206990019346,-4.123264897783316,-6.768704734655296,-5.519879873287304,Normal,0.69,,,,None
2025-10-24_22:13:51,39.80405826124921,-104.6704285089593,1480.405685966376,84.83868941874105,45.66504124469999,-4.062308229224043,-6.767845521701547,-5.369956378695059,Normal,0.655,,,,None
2025-10-24_22:13:55,39.80511243676414,-104.668905805484,1457.850093357126,84.7933887726306,39.98404327379556,-4.028334791678978,-6.778725457035812,-5.306478062936057,Normal,0.635,,,,None
2025-10-24_22:14:00,39.80627649232468,-104.6675671312596,1435.585957576729,84.74659537303214,34.30142965256565,-4.041157442055131,-6.798722934359563,-5.356725191429446,Normal,0.63,,,,None
2025-10-24_22:14:04,39.80752718340373,-104.666416504188,1412.896272925979,84.74425436150608,28.57732266644589,-4.072722166207898,-6.817772785410464,-5.434183151434008,Normal,0.63,,,,None
2025-10-24_22:14:08,39.8088494867775,-104.6654568179517,1390.214660364304,84.77788940663723,22.74496782749375,-4.085324873183761,-6.829122827600552,-5.449085467280568,Normal,0.63,,,,None
2025-10-24_22:14:12,39.8103657552465,-104.6646668708133,1366.163100405409,84.81047539960606,16.85565811926899,-4.068114694141459,-6.833734632880332,-5.393368303514253,Normal,0.63,,,,None
2025-10-24_22:14:16,39.81185069586498,-104.6641237753837,1343.830730871423,84.81044274382461,11.11895110395545,-4.043110661003774,-6.83904465577903,-5.332597957554992,Normal,0.63,,,,None
2025-10-24_22:14:21,39.81335999668709,-104.6638002894955,1321.073474385949,84.78987658208213,5.328881661169028,-4.033477220689546,-6.848805121558452,-5.316932911743076,Normal,0.63,,,,None
2025-10-24_22:14:25,39.81486668299667,-104.6636974951934,1298.777749241994,84.77571174101966,359.5851669082892,-4.04181316453565,-6.860740250525266,-5.342793929188251,Normal,0.835,,,,None
2025-10-24_22:14:29,39.81642364426736,-104.6638167952194,1276.512236086929,84.78146557112576,353.8410877184383,-4.053827766349191,-6.870436659051024,-5.369154642011286,Normal,0.835,,,,None
2025-10-24_22:14:33,39.81792904090357,-104.6641460078826,1253.876945581264,84.79870685883893,347.9951777399981,-4.054779523919028,-6.876898908795524,-5.362373540976246,Normal,0.835,,,,None
2025-10-24_22:14:38,39.81954728789581,-104.6647758370362,1229.212799287738,84.81219412674591,341.7164385312498,-4.044631380564509,-6.880580030364551,-5.332051660766118,Normal,0.835,,,,None
2025-10-24_22:14:42,39.82088048802228,-104.6656128449675,1205.801889594801,84.81052096860337,335.6269556846539,-4.033583555363653,-6.885475703425044,-5.305799948107747,Normal,0.835,,,,None
2025-10-24_22:14:46,39.82239780189223,-104.6666205227466,1183.559701992275,84.80363926653993,329.841828164826,-4.031106455385917,-6.891715624587396,-5.3019447239737,Normal,0.835,,,,None
2025-10-24_22:14:51,39.82366307296547,-104.6678255842024,1161.112084524354,84.80177286422196,324.1416400666447,-4.034622582541999,-6.898582804172565,-5.310525942740655,Normal,0.835,,,,None
2025-10-24_22:14:55,39.82477957034003,-104.6692404292126,1135.176457910621,84.80977768219023,317.0121391914379,-4.037450972180609,-6.904875764979145,-5.312923751427404,Normal,0.835,,,,None
2025-10-24_22:15:00,39.82608209227354,-104.6710659314832,1112.201488019779,84.81852544732433,311.1930520123033,-4.034325756653666,-6.908519640232768,-5.300890425596373,Normal,0.835,,,,None
2025-10-24_22:15:04,39.82700605018535,-104.67280666802,1089.985439211755,84.82267983024376,305.0561651514966,-4.028014611244306,-6.91217517302286,-5.282330714263918,Normal,0.835,,,,None
