time,lat,lon,alt_ft,airspeed_kt,heading_deg,pitch_deg,roll_deg,vsi_fps,pred,f_prob,target_icao,cmd_heading,cmd_alt,cmd_throttle
2025-12-06_15:33:09,37.61865416503545,-122.3883424042965,2323.957840322547,79.4511630105639,250.0454228952002,1.074561153706644,-6.996425380614233,0.8360822663854122,Normal,0.725,,,,None
2025-12-06_15:33:20,37.6168943212691,-122.3929315433295,2353.350402607776,78.23470614054764,229.3782456015972,-10.18707059220709,-9.878280818465694,-19.97570972781993,Normal,0.785,,,,None
2025-12-06_15:33:32,0.0,37.61375551767981,-122.3970223096078,0.0,2172.156823702683,91.88481487316739,213.0576704654376,-3.474147987121782,FuelLeak,0.705,,,,None
2025-12-06_15:33:40,-7.464528786235801,-3.575263562659544,0.0,37.61118835812745,-122.3986929920003,2158.285845644923,86.04331237472701,206.4212152044117,FuelLeak,0.72,,,,None
2025-12-06_15:33:45,-0.2262726050138202,-6.041165705999317,4.060378932537352,0.0,37.60962259658871,-122.3996230592278,2174.8074263831,81.51774692092152,FuelLeak,0.595,,,,None
2025-12-06_15:33:47,202.7507146626359,-1.532341365546799,-6.083995502642714,0.6359915273583452,0.0,37.60866380273654,-122.4001044156497,2175.272938906245,EngineFailure,0.975,,,,None
2025-12-06_15:33:48,79.12982986423611,199.7531701131336,-2.921486721498515,-6.148363133574681,-4.214582085267233,0.0,37.60799647592868,-122.4004013320304,FuelLeak,0.71,,,,None
2025-12-06_15:33:50,2166.487359211078,79.01359186857754,197.6593685923857,-4.848724032663308,-6.206741833170733,-8.964648870671486,0.0,37.60734611982143,FuelLeak,0.6,,,,None
2025-12-06_15:33:52,-122.4006605803916,2150.662066910002,80.05478024002988,195.5967183222754,-6.652568801609229,-6.355360155743061,-11.66518916390515,0.0,FuelLeak,0.415,,,,None
2025-12-06_15:33:53,37.60652342147978,-122.4009463297246,2122.688563778277,82.25942430394437,193.0352396052668,-8.164402876963756,-6.310329770349104,-15.46229780284057,Normal,0.785,,,,None
2025-12-06_15:33:55,37.60599667364952,-122.4011053952278,2102.224970825859,83.99719962596433,191.4460886299327,-8.59357954515041,-6.315176225987233,-16.68117798675568,Normal,0.785,,,,None
2025-12-06_15:33:56,37.60560013814644,-122.4012132070528,2086.513245482977,85.42986692366424,190.263436824025,-8.614501850280346,-6.312288659763363,-16.87601878078346,Normal,0.785,,,,None
2025-12-06_15:33:57,37.60481509650037,-122.4013973134344,2057.142668323146,87.87929656768523,188.0043826232573,-7.936430917171728,-6.174415870648954,-15.35812147539238,Normal,0.785,,,,None
2025-12-06_15:33:59,37.60429039847966,-122.4014995978977,2040.305238230443,89.00873144607348,186.5468387125121,-7.081886627909299,-6.012810456680294,-13.18326261797106,Normal,0.785,,,,None
2025-12-06_15:34:00,37.60372106123144,-122.4015928393412,2025.576283523943,89.70488640348843,185.0251750384758,-5.936269308862535,-5.819987229303567,-10.15159402619766,Normal,0.785,,,,None
2025-12-06_15:34:02,37.6030296903994,-122.4016825987391,2013.266676220142,89.82300968673006,183.2463370389791,-4.420006857024783,-5.606368991482009,-6.072385645731791,Normal,0.675,,,,None
2025-12-06_15:34:03,37.60231600157594,-122.4017496730426,2006.985236394939,89.19907602478925,181.4688803850122,-2.913895175480777,-5.45385977500661,-2.051215818583918,Normal,0.655,,,,None
2025-12-06_15:34:04,37.60175097935461,-122.4017850270244,2006.153238036741,88.27199227179229,180.0789778545901,-1.891971487652482,-5.405385033481357,0.5990170528389385,Normal,0.55,,,,None
2025-12-06_15:34:05,37.60117762047958,-122.4018050968259,2008.272923543439,87.05814665569225,178.6601266043869,-1.100709004690444,-5.435093068713096,2.551705772674368,Normal,0.55,,,,None
2025-12-06_15:34:07,37.60065266423252,-122.4018093903225,2011.998224855646,85.81801213736269,177.3321526092485,-0.6501750304945778,-5.537986179712037,3.562157531457329,Normal,0.55,,,,None
2025-12-06_15:34:08,37.60000637843466,-122.4017955857842,2017.582029104518,84.29176234391966,175.6302375853303,-0.5028732836986014,-5.763286658302062,3.724359900360941,Normal,0.725,,,,None
2025-12-06_15:34:09,37.5995267135541,-122.4017710259156,2021.477378804536,83.26786198910219,174.3016924466004,-0.6904052505849272,-5.99205577045969,3.105176077984927,Normal,0.725,,,,None
2025-12-06_15:34:11,37.59929094869688,-122.4017542460479,2023.072751028543,82.82827893537267,173.6238869113839,-0.870585106382822,-6.119523851712441,2.593624801006508,Normal,0.725,,,,None
2025-12-06_15:34:12,37.59868831666087,-122.4016964077606,2025.573821930604,81.96582933815247,171.8095622301742,-1.557427517277793,-6.475363178284241,0.7788448102436529,Normal,0.725,,,,None
2025-12-06_15:34:13,37.59833650023637,-122.401597754758,2024.568665842569,81.53507937418286,169.4979469507353,-2.665256839746668,-6.909227824463104,-1.995374848507121,Normal,0.83,,,,None
2025-12-06_15:34:14,37.59751249305517,-122.4015155286393,2021.246905529759,81.62196690396333,167.9214312702205,-3.43997146052417,-7.164975665834697,-3.894478210184703,Normal,0.835,,,,None
