time,alt_ft,airspeed_kt,heading_deg
15:25:05,0.6610134078006298,-0.1043945434822646,0.0
15:25:06,5355.218293551149,39.44111836255822,262.3056743157651
15:25:07,5355.147890515752,35.74928935819367,262.3216509183331
15:25:08,5355.08767730722,32.2322877998086,262.2916526214895
15:25:09,5355.024970078799,28.18659451955196,262.3757439361531
15:25:10,5354.990655878135,25.44979384859252,262.4685141943443
15:25:11,5354.946174765077,20.45980987222829,262.5141769853108
15:25:12,5354.917107267458,16.52071821269861,262.6466178220938
15:25:13,5354.893357896264,12.53533062170956,262.9011022351704
15:25:14,5354.871351136705,8.913895039514065,263.3388622093805
15:25:15,5354.866265697082,5.838777724723474,264.0655184402508
15:25:16,5354.863138366866,4.711599446368647,264.7551911441432
15:25:17,5354.886785853318,4.703136094664964,264.7666730650543
15:25:18,5354.884330185686,4.704459622458462,264.7670301885181
15:25:19,5354.884271764806,4.70564613207999,264.7670863442202
15:25:20,5354.884278520709,4.706870380087686,264.7670846207307
15:25:21,5354.884277525009,4.708372438367452,264.7670775580872
15:25:22,5354.884276957367,4.709592064844326,264.7670721894968
15:25:23,5354.884275603396,4.710820622672425,264.7670685290527
15:25:24,5354.884275096241,4.712026516598743,264.767062354663
15:25:25,5354.884274021446,4.713286971304883,264.7670530905218
15:25:26,5354.88427341658,4.714516859727189,264.7670476851548
15:25:27,5354.884272490669,4.715735424297351,264.7670452599096
15:25:28,5354.884271346082,4.716963028446733,264.7670363266342
15:25:29,5354.884269824611,4.718204165608814,264.7670315378819
15:25:30,5354.884268996411,4.719433791942315,264.7670257769299
15:25:31,5354.88426834967,4.720633285313761,264.7670198292269
15:25:32,5354.884267493555,4.721852958528325,264.7670142257707
15:25:33,5354.884268345027,4.723083253305028,264.7670081113818
15:25:34,5354.884268093775,4.723863395770242,264.7670037020559
